O-antigen,Structure,sugar
O112 ac,"bDGlcNAc4,6(S)Pyr(1->3) | ->4)aDGalNAc(1->4)aDGlc(1->4)bDGal(1->3)bDGalNAc(1->",Pyr|aDGalNAc|aDGlc|bDGal|bDGalNAc
O113,->4)aDGalNAc(1->4)aDGalA(1->3)aDGal(1->3)bDGlcNAc(1-> | bDGal(1->3),aDGal|aDGalA|aDGalNAc|bDGlcNAc
O114,->4)bDQui3NLSerAc(1->3)bDRibf(1->4)bDGal(1->3)aDGlcNAc(1->... O115,aDGlcNAc|bDGal|bDQui3NLSerAc|bDRibf
O115,bLRha(1->4) | ->3)bDGlcNAc(1->4)aDGalA(1->3)aDMan(1->3)bDGlcNAc(1->,aDGalA|aDMan|bDGlcNAc
O116,->2)bDQui4NAc(1->6)aDGlcNAc(1->4)aDGalNAc(1->4)aDGalA(1->3)bDGlcNAc(1->,aDGalA|aDGalNAc|aDGlcNAc|bDGlcNAc|bDQui4NAc
O117,->4)bDGalNAc(1->3)aLRha(1->4)aDGlc(1->4)bDGal(1->3)aDGalNAc(1->,aDGalNAc|aDGlc|aLRha|bDGal|bDGalNAc
O118,->3)DRibitol(5-P-6)aDGal(1->3)aLFucNAm(1->3)bDGlcNAc(1->,DRibitol|aDGal|aLFucNAm|bDGlcNAc
O119,aLRhaNAc3NFo(1->3) | ->2)bDMan(1->3)aDGal(1->4)aLRha(1->3)aDGlcNAc(1->,aDGal|aDGlcNAc|aLRha|bDMan
O120,aLRha(1->4) | ->3)aDGlc(1->2)aLRha(1->2)aLRha(1->2)aDGal(1->3)bDGalNAc(1->,aDGal|aDGlc|aLRha|bDGalNAc
O121,->3)bDQui4NGlyAc(1->4)aDGalNAcA6N(1->4)aDGalNAcA(1->3)aDGlcNAc(1->,aDGalNAcA|aDGalNAcA6N|aDGlcNAc|bDQui4NGlyAc
O123,->3)bDQui4NLAlaBuS3OH(1->6)aDGlcNAc(1->3)aLQuiNAc(1->3)aDGlcNAc(1->,aDGlcNAc|aLQuiNAc|bDQui4NLAlaBuS3OH
O124,bDGlc4RLac(1->6)aDGlc(1->4) | ->3)bDGal(1->6)bDGalf(1->3)bDGalNAc(1->,aDGlc|bDGal|bDGalNAc|bDGalf
O125 ab,aDGlc(1->3) | ->4)bDGalNAc(1->2)aDMan(1->3)aLFuc(1->3)aDGalNAc(1-> | bDGal(1->3),aDGalNAc|aDMan|aLFuc|bDGalNAc
O125 ac,->4)bDGalNAc(1->2)aDMan(1->3)aLFuc(1->3)aDGalNAc(1-> | bDGal(1->3),aDGalNAc|aDMan|aLFuc|bDGalNAc
O126,->2)bDMan(1->3)bDGal(1->3)aDGlcNAc(1->3)bDGlcNAc(1-> | aLFuc(1->2),aDGlcNAc|bDGal|bDGlcNAc|bDMan
O126,->2)bDMan(1->3)aDGal(1->3)bDGlcNAc(1-> | bLFuc(1->2),aDGal|bDGlcNAc|bDMan
O127,->2)aLFuc(1->2)bDGal(1->3)aDGalNAc(1->3)aDGalNAc(1->,aDGalNAc|aLFuc|bDGal
O128 ab,->6)bDGal(1->3)bDGalNAc(1->4)aDGal(1->3)bDGalNAc(1-> | aLFuc(1->2),aDGal|bDGal|bDGalNAc
O128 ab,->6)bDGal(1->3)bDGalNAc(1->4)aDGalNAc(1->3)bDGalNAc(1-> | aLFuc(1->2),aDGalNAc|bDGal|bDGalNAc
O128 ac,->6)bDGal(1->3)bDGalNAc(1->4)aDGal(1->3)bDGalNAc(1-> | aLFuc(1->2),aDGal|bDGal|bDGalNAc
O129,aDGlc(1->3) | ->2)aLRha3Ac4Ac(1->2)aLRha(1->3)aLRha(1->3)bDGlcNAc(1->,aLRha|aLRha3Ac4Ac|bDGlcNAc
